image,class_id,similarity_individual,similarity_class,difference,individual_better
image_05202.jpg,5,0.13393,0.1115,0.02243,True
image_05203.jpg,5,0.13893,0.11259,0.02634,True
image_05204.jpg,5,0.09213,0.1342,-0.04207,False
image_05205.jpg,5,0.14104,0.12081,0.02024,True
image_05206.jpg,5,0.15786,0.10799,0.04988,True
image_05207.jpg,5,0.14102,0.1073,0.03372,True
image_05208.jpg,5,0.12825,0.13163,-0.00338,False
image_05210.jpg,5,0.14526,0.1173,0.02797,True
image_05211.jpg,5,0.11785,0.11281,0.00504,True
image_07162.jpg,6,0.1669,0.15857,0.00833,True
image_07163.jpg,6,0.11751,0.14171,-0.02419,False
image_07164.jpg,6,0.13061,0.15889,-0.02828,False
image_07165.jpg,6,0.16108,0.14293,0.01815,True
image_07166.jpg,6,0.13328,0.16317,-0.02989,False
image_07167.jpg,6,0.11759,0.1356,-0.01801,False
image_07168.jpg,6,0.14173,0.15532,-0.01359,False
image_07169.jpg,6,0.15578,0.1482,0.00758,True
image_07170.jpg,6,0.14429,0.1597,-0.01541,False
image_07171.jpg,6,0.16039,0.15566,0.00473,True
image_07172.jpg,6,0.13102,0.14164,-0.01062,False
image_07174.jpg,6,0.15543,0.13489,0.02053,True
image_07175.jpg,6,0.14733,0.14201,0.00532,True
image_07176.jpg,6,0.10882,0.1403,-0.03148,False
image_07177.jpg,6,0.14679,0.15803,-0.01125,False
image_07178.jpg,6,0.15967,0.14729,0.01238,True
image_07179.jpg,6,0.12349,0.15196,-0.02847,False
image_07180.jpg,6,0.11924,0.15022,-0.03098,False
image_07183.jpg,6,0.11504,0.1406,-0.02556,False
image_07184.jpg,6,0.16549,0.14937,0.01612,True
image_07186.jpg,6,0.15064,0.163,-0.01236,False
image_07187.jpg,6,0.18095,0.12657,0.05437,True
image_07188.jpg,6,0.10915,0.13795,-0.0288,False
image_07189.jpg,6,0.13992,0.15293,-0.013,False
image_07190.jpg,6,0.14614,0.15274,-0.00661,False
image_07192.jpg,6,0.16284,0.15394,0.0089,True
image_07193.jpg,6,0.15876,0.15299,0.00577,True
image_07194.jpg,6,0.12231,0.14223,-0.01992,False
image_07195.jpg,6,0.15539,0.14533,0.01006,True
image_07196.jpg,6,0.12145,0.13761,-0.01616,False
image_07197.jpg,6,0.1187,0.1432,-0.02449,False
image_08107.jpg,6,0.15517,0.13699,0.01818,True
image_08109.jpg,6,0.1508,0.14459,0.00621,True
image_08110.jpg,6,0.12729,0.12684,0.00045,True
image_08111.jpg,6,0.14463,0.14763,-0.003,False
image_07200.jpg,7,0.1345,0.11534,0.01916,True
image_07201.jpg,7,0.1321,0.12105,0.01106,True
